Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5",0603,3,10uf,
C12,0603,1,1uF,
"C13, C6",0603,2,22uF,
"C14, C17, C18, C3, C4",0603,5,0.1uF,
"C15, C16",0603,2,15pF,
"C19, C22, C25, C28, C31",0603,5,2.2uF,
"C20, C23, C26, C29, C32, C7",0603,6,100nF,
"C21, C24, C27, C30, C33, C8",0603,6,1nF,
C9,0603,1,100pF,
"D1, D3",D_SOD-323,2,1N5819WS,
D2,0805,1,LED RED,
D4,SOT-23,1,PESD1CAN,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
"J3, J7",JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,2,Conn_01x04_Pin,
J4,PinSocket_1x09_P2.54mm_Vertical,1,Conn_01x09_Socket,
"J5, J6",PinSocket_1x12_P2.54mm_Vertical,2,Conn_01x12_Socket,
J8,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02_Pin,
"R1, R2",0603,2,5.1K,
"R10, R11, R12, R13, R17, R18, R4, R6",0603,8,10K,
"R14, R15, R21",0603,3,0,
"R19, R20",0603,2,4K7,
R3,0603,1,75,
R7,0603,1,499,
"R8, R9",0603,2,2K2,
"S1, S2",SW_TL3315NF100Q,2,TL3315NF100Q,
U1,SOT-223,1,AZ1117-3.3,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,ESP32-S3-MINI-1U,1,ESP32-S3-MINI-1U,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD232,
Y1,Crystal_SMD_G8-2Pin_3.2x1.5mm,1,32.768 kHz,
